CITY,COLOR,POPULATION,STATE-RANK,STATE,AVG. RANK,OVERALL RANK,GOOGLE SEARCH VOLUME,WEIGHTED BY POPULATION,RANK FOR GSV,GOOGLE TREND,RANK FOR GSV INCREASE,MOST SEARCHED MONTH,AVG. PRECIPITATION (MM),RANK FOR PRECIPITATION,ANNUAL MAX TEMPERATURE ,RANK FOR TEMPERATURE,MEDIAN YEAR BUILT,RANK FOR YEAR BUILT,POPULATION DENSITY / sq mi,RANK FOR POPULATION DENSITY
Cheektowaga,#93c47d,"98,496",4,New York,120.50,143,160,162.44,83,-57.00%,198,December,"1,064.00",120,14.00,203,1957,1,"2,955.00",118
Wilmington,#93c47d,"115,451",14,North Carolina,120.83,144,200,173.23,71,-71.00%,208,July,"1,474.00",17,23.00,73,1999,202,"2,245.00",154
Riverside,#93c47d,"314,998",3,California,121.50,145,430,136.51,102,-29.00%,168,April,193.00,210,27.00,34,1987,136,"3,877.00",79
Denver,#93c47d,"715,522",32,Colorado,121.67,146,630,88.05,164,71.00%,48,November,452.00,175,18.00,145,1987,144,"4,674.00",54
Columbus,#93c47d,"905,748",6,Ohio,121.67,147,540,59.62,199,40.00%,71,June,"1,063.00",121,17.00,164,1983,103,"4,109.00",72
Warren,#93c47d,"139,387",11,Michigan,121.83,148,150,107.61,137,0.00%,136,August,940.00,147,15.00,201,1969,35,"3,975.00",75
Little Rock,#93c47d,"202,591",15,Arkansas,122.17,149,260,128.34,115,-38.00%,180,December,"1,439.00",21,23.00,75,1990,160,"1,687.60",182
San Diego,#93c47d,"1,386,932",3,California,123.00,150,700,50.47,203,39.00%,72,February,226.00,203,22.00,104,1981,91,"4,255.00",65
Salt Lake City,#93c47d,"199,723",35,Utah,123.00,151,540,270.37,25,42.00%,69,August,463.00,173,18.00,144,1988,152,"1,817.00",175
Las Vegas,#93c47d,"641,903",38,Nevada,123.50,152,670,104.38,143,25.00%,89,August,86.00,215,27.00,35,1999,201,"4,525.00",58
Akron,#93c47d,"190,469",6,Ohio,123.67,153,220,115.50,128,-20.00%,163,September,"1,068.00",119,16.00,183,1970,38,"3,075.00",111
Atlanta,#93c47d,"498,715",13,Georgia,124.00,154,390,78.20,184,0.00%,137,July,"1,258.00",59,22.00,89,1995,188,"3,685.00",87
Bellevue,#93c47d,"151,854",27,Washington,124.33,155,220,144.88,94,-50.00%,190,July,"1,107.00",108,16.00,179,1985,118,"4,530.00",57
High Point,#93c47d,"114,059",14,North Carolina,124.83,156,140,122.74,121,0.00%,138,December,"1,188.00",93,22.00,92,1987,139,"2,004.00",166
Murray,#93c47d,"49,498",35,Utah,125.00,157,190,383.85,4,-50.00%,191,May,427.00,178,18.00,147,1988,153,"3,969.00",77
Charleston,#93c47d,"150,227",18,South Carolina,125.17,158,320,213.01,42,-56.00%,195,October,"1,298.00",45,24.00,68,1998,200,"1,306.00",201
Austin,#93c47d,"961,855",1,Texas,125.33,159,880,91.49,162,26.00%,86,August,913.00,150,27.00,27,2003,212,"3,006.00",115
San Jose,#93c47d,"1,013,240",3,California,125.50,160,660,65.14,193,-33.00%,175,September,309.00,190,22.00,101,1976,56,"5,684.00",38
Albuquerque,#93c47d,"564,559",33,New Mexico,125.50,161,470,83.25,173,133.00%,30,August,221.00,205,22.00,105,1986,126,"3,014.00",114
Killeen,#93c47d,"153,095",1,Texas,125.83,162,330,215.55,41,-36.00%,178,December,918.00,149,26.00,43,1997,198,"2,333.00",146
Detroit,#93c47d,"639,111",11,Michigan,126.50,163,510,79.80,179,-10.00%,154,October,983.00,137,15.00,200,1969,34,"4,606.00",55
Seattle,#93c47d,"737,015",27,Washington,127.17,164,600,81.41,176,0.00%,139,January,"1,009.00",130,16.00,185,1985,120,"9,302.00",13
Jackson,#93c47d,"153,701",24,Mississippi,127.50,165,10,6.51,215,0.00%,140,December,"1,435.00",22,25.00,54,1987,138,"1,375.00",196
